ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
10,2,239,136,5,-112.00146,26.88679,-0.39554668297750767,0,0.35987994920263294,4,-0.0017666333291210881,1,1,-0.37506925676204106,1,-0.1686941406795007,1,-0.17274728925409422,4,0.5429286495160001,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18700837793790842,0,-0.06740049004830814,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,239,136,5,-112.05319,26.85661,-0.23590769897993363,0,0.1923691725789747,4,-0.0635636825137526,1,1,-0.4255013777382597,1,-0.09653587658619778,1,1.6078558298191152,2,0.38598163747202363,1,-0.1141705123385302,0,-0.03321868948261033,1,-0.0536259759531187,1,1.9974533250649347,1,-0.08656199744644805,1,-0.11845264853744361,0,0.19142544453173538,1,Rojo,36,2,2,2,2,1.0,2,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,2,239,196,5,-112.762754,27.3359,1.221553774583735,0,-0.3987505872372039,0,-0.053664508557203845,1,1,-0.3979456827718722,1,-0.01694606098608932,1,-0.05629567953398426,0,-0.030823688102928397,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.14768183549113018,0,-0.015552201345528436,1,Amarillo,99,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,2,239,267,5,-113.7937,27.9193,-1.1356832671252715,3,-0.15070578339063304,4,-0.10437229926918681,1,1,-0.400025357863675,1,-0.29575850501422835,1,-0.15232316850368566,1,-0.05452368109286294,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.04714589142068568,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18089682066577395,0,-0.06143884012777946,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,239,267,5,-113.67867,27.82175,-0.8194925961615027,3,-0.5565972805941126,0,-0.12936407410728248,1,1,-0.3604595392421262,1,-0.22766234005385336,1,-0.17274728925409422,4,-0.36037234189939593,2,-0.2732936967537141,2,-0.03321868948261033,1,0.13105643322122223,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18753981770070272,0,-0.06626235688166177,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,239,267,5,-113.4545,27.7335,-0.7337343452898542,3,-0.5839788498499029,0,-0.12499679147939333,1,1,-0.1435494271670911,3,-0.7784539853747032,2,-0.17274728925409422,4,-0.11202597783810878,2,-0.24772032782984527,0,-0.03321868948261033,1,0.18613715174690285,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,239,267,5,-113.44772,27.62943,-0.8623717215973271,3,0.2406895889127223,4,0.33356788444896757,0,0,-0.40621239126178843,1,1.2526465069056096,0,-0.12795070937431982,1,1.1412397407070864,0,-0.2732936967537141,2,-0.03321868948261033,1,-0.014745468758520616,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Rojo,97,2,2,2,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,239,267,5,-113.3826,27.5469,-0.41642881706475415,0,0.0441865624888155,4,0.2971738625498913,0,0,-0.4178065798985892,1,0.7737462521377134,0,-0.16889644071165444,1,0.7295483583870006,1,-0.2732936967537141,2,-0.03321868948261033,1,0.2995386310644806,0,-0.1229118744347359,1,-0.08656199744644805,1,-0.09241210016052288,0,0.15059717537902384,1,Rojo,93,2,2,2,2,1.0,1,1.0,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,2,239,267,5,-113.34142,27.5281,-0.6394002693310407,0,-0.5590133014108,0,-0.14537744374287603,3,1,-0.3724176710199925,1,-0.3093570893966121,1,-0.17133368662459103,1,0.14052159651286034,1,-0.2732936967537141,2,-0.03321868948261033,1,0.11615223879662627,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,239,267,5,-113.2982,27.4703,-0.5450661933722271,0,-0.2698961436805437,4,0.033681144000579186,1,1,-0.3972177964897412,1,0.2486462637429558,1,-0.17274728925409422,4,1.8136092170860105,0,-0.2732936967537141,2,-0.03321868948261033,1,-0.0030813166001411804,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Rojo,117,2,2,2,2,1.0,2,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,239,267,5,-113.2666,27.8332,-0.6994310449411947,0,-0.5082768642603651,0,-0.1643023351303957,3,1,-0.16237048674790672,3,-0.731803433045688,2,-0.17274728925409422,4,-0.04297107242801058,2,-0.2732936967537141,2,-0.03321868948261033,1,0.17965706721446983,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,206,18,5,-109.897306,22.902244,-1.063003149511549,3,-0.14990044311840392,4,-0.14363053069172035,1,1,-0.4203541818860477,1,-0.5047711346408891,1,0.32342723370153553,2,1.1185931686939212,0,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.16761082659591642,0,0.0006165158631781336,1,Rojo,37,2,2,2,2,1.0,2,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,2,197,103,5,-110.29474,24.13871,-1.0301148603022718,3,-0.323048601647666,0,-0.17835042758343914,3,1,-0.45149731638579504,1,-0.5417009782754943,1,-0.17274728925409422,4,0.451959277482945,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,103,5,-110.35254,24.099,-0.4875224070373508,0,-0.10158002678465634,4,-0.12332266647203581,1,1,-0.45524073155104017,1,-0.37484184528228714,1,-0.17274728925409422,4,-0.26155334642712624,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
